"Comp1"	"Comp2"	"Comp3"	"Comp4"	"Comp5"	"Comp6"	"Comp7"	"Comp8"	"Comp9"	"Comp10"	"Comp11"	"Comp12"	"Comp13"	"Comp14"	"Comp15"	"Comp16"	"Comp17"	"Comp18"	"Comp19"	"Comp20"	"Comp21"	"Comp22"	"Comp23"	"Comp24"	"Comp25"	"Comp26"	"Comp27"	"Comp28"	"Comp29"	"Comp30"	"Comp31"	"Comp32"	"Comp33"	"Comp34"	"Comp35"	"Comp36"	"Comp37"	"Comp38"	"Comp39"
"alegranzaensis"	-0.0450843863290258	0.0550536866914649	0.00803870840682232	0.00322782709197046	0.00169968823783349	0.00373526267651676	-0.00913980371993142	0.00399610122442692	-0.00851062084363725	0.00861497981857995	-0.00093280105789757	0.00499285252771026	-0.000308086544090385	0.00406378344094983	-0.00445697760477756	0.000669175069235153	-0.000221357148524026	-0.000135996253960077	-0.00179940792600165	0.000986272944420295	0.00149752841212926	0.00178782499863468	-0.00310919252823045	-0.00320577123427649	-0.000217954028595946	0.000241475706686848	0.00150832099799397	0.000515235291223609	0.000787485020239339	0.00134252423869689	0.00104965574245665	-0.000472431786119294	-0.00137895916361438	-0.000982077821032816	-0.000356306172848356	-0.000252529957168122	-0.00059878229341696	-0.000713905040162489	-0.000459888419233287
"andamanae"	-0.0724622734736887	-0.0265467993880535	0.0219363121745388	0.0347355464580723	0.029647470007101	0.00334925604655583	-0.00597465513551163	0.0160711787121868	-0.00877979424918912	0.00478206367329195	0.00862548160470529	-0.00229211076834355	-0.00167072553128829	-0.000254270862759227	-0.00275006186144112	0.00672376594069126	0.00241993194199796	0.00173289178832768	-0.00180449135910176	-0.00250939014098684	0.0028309340162194	-0.00080298252765907	0.000251292154014914	0.00507241134680957	0.000228810727879305	0.00198791719672547	0.00132653065736729	0.00167322835304321	-0.000201171217633189	-4.60537263113081e-06	-0.00104120190192967	0.000343216084086428	-0.000612942857551302	0.000240089615877327	-3.32501529961878e-05	-0.000203086401907839	0.000245168491989687	-2.72820628809361e-06	-0.00010497650379078
"arabisenen"	-0.0365706184510498	-0.0065807542162944	-0.00250742170308477	-0.0437998695002336	0.021049444276107	-0.00831463512676904	0.0129077814956469	-0.0152374577992747	-0.0018478623177547	0.010624498672448	-0.00398348176188192	-0.00527490686258242	0.00462748851570627	-0.00637733171854938	-0.0064457535514372	-0.00310455524547622	-0.00255101923069108	-0.00581160916028906	0.000406465511441577	-0.00101692559231183	-0.00204487637046377	0.00163504442639989	-0.00196273394758883	0.00283151400910349	-0.00115016601834308	0.000207494456089369	0.000675895073014939	0.000268835093607378	0.000277061788470704	-0.000422085109627672	-0.000417315779774373	0.000303416565726543	-0.000625074106281916	-0.000743124373524142	-0.000364656131351566	0.000870034722499296	0.000590377983321445	-3.11973293276366e-05	-7.53144423428175e-05
"bandamae"	-0.0408731259223064	0.0134904784584491	0.0118531238340097	0.00191011349306356	0.0332980477953639	0.0105859160348018	0.00512064952728517	-0.0243280963279709	-0.0106571946274982	0.00747577545349171	-0.000283954708634545	-0.00438173734796713	-0.002674099415402	-0.00087392330137058	0.00138378668315578	-0.00223673454348458	-0.0014757736283298	0.00718791374008719	0.000967508278428975	-0.00153821869963244	-0.00171286332309527	-0.00519336784127122	0.00119805835897657	-0.00104771803588825	0.000533406648900029	-0.003138017612292	0.00102550946950813	0.000805717814076472	-0.00131693878119354	0.00110850606982037	0.000793835717390575	0.000291945343073077	0.000503163330971391	-0.000320120727359868	9.57855807516584e-06	5.51302791236188e-05	2.67517431132557e-07	0.000300982353021393	-0.00014641709426234
"brevisetae"	0.012146963195731	-0.029465923608492	-0.0248892933197191	0.00764948845513879	0.00962042791926619	0.035355818423736	0.00949404310560448	-0.00813560105324305	0.0186687265648674	-0.00697326310956254	-0.0101565632540181	-0.00387695767396554	0.00791185087489963	0.00280781367931514	0.00767766608129648	0.000762354573749801	0.00278607104280936	-0.00539430203124241	-0.00225632632985745	-0.0037572209167466	0.00257493736489555	-0.000257835195226535	0.000546138494501928	-0.00087784745711513	-0.00255387145718463	-0.0013483026621084	0.00137782223933712	0.000387786580763313	-0.000586250315678956	0.000219856627950939	0.00034485868611461	-5.57129844435037e-05	-0.00028318350047006	0.000706188980815715	-0.00038134297451728	-0.000177763953909263	-0.000142438335048222	-0.000107913215475231	-0.000250553113295497
"brevispina"	0.0948307667423698	-0.0125096104408812	0.0383918978484706	0.0077551278508315	-0.0105514835571986	-0.0113929782573701	0.00904680601930265	-0.00896336410322614	0.00526612820272709	0.00123917912251988	-0.00631468219832098	-0.00603917224224434	-0.00208683131209683	-0.00272140671117173	0.0058741502878865	0.00196150161540999	-0.0031479689197096	0.00435853775434123	0.00119197050821003	-0.000283726529377715	0.000212014119086106	0.00149250783430618	-0.00491449807299184	-0.000692066823112099	-0.000820451739396306	0.00150903042594971	0.00223556464312588	0.00058880809788741	-0.000108902485040531	-0.00156077822099758	8.80073198371159e-05	-0.00146390481611005	-0.000242964334248365	-0.000315889686285063	0.000163870130000673	-0.000794762895416651	0.000517582441217018	0.000182680560687236	0.000132582286770751
"calderensis_G"	0.0333126277356675	-0.0335829978827903	-0.0114365136723772	-0.00416375817259124	-0.0224959013230119	-0.00271567390526795	0.00397976057222047	0.00994166563631385	-0.0138927298439704	0.00230553263150455	-0.00479854061971478	0.000937856004468562	0.000414670728824287	0.00717878548012064	0.00284592323589933	-0.00335415994332321	-0.00181072829222137	-0.00427719123837828	0.000710076978349352	0.00116898066895251	0.000828225689370211	-0.00431504282331154	-0.00165830984348363	3.1756047828578e-05	0.00282119281549718	0.000920359721126965	-0.00223874696189924	0.00271448810396081	-0.00100793210673244	-0.00058959738181072	0.00040874881456172	0.000691517763901651	-3.72289468165951e-05	-0.000652278973751309	-0.00101382107996561	-0.000368476688443263	4.51238567574496e-05	0.000245056858534184	-8.21760401567839e-05
"calderensis_P"	0.0726744154299275	-0.0331168573036623	0.0165340279720856	-0.00324316953206927	-0.00481761886124406	-0.00751411183710915	-0.00743991055460677	-0.000960092362302047	-0.0127905563332117	-0.00553960214456571	0.00659950143786759	0.0159139205708001	-0.000572444051069998	-0.00820783298361228	0.00419288835649608	-0.00105656063544766	-0.00187402692556541	-0.00159471212834876	0.00351497571234291	-0.00438262110958658	0.00502925174182246	0.00123670796264851	0.00010824351800348	-3.31096343924908e-05	0.00125481028877684	-0.000209577789395394	0.00032258007860409	-0.00167478786349617	-0.00105430505177871	0.00130886677271755	0.000806331262605269	0.000106334484873366	0.000207612826161922	-0.000330068422236392	0.000236218122782251	0.000467012528279862	0.000264310476008289	-9.51362371866726e-05	-0.000167241600287978
"cribellata"	0.0646153818065317	0.0246318941822978	0.048192626688797	0.0100216150574199	-0.0247039799909654	0.0261998868486778	-0.0110519908324907	-0.00788064949826406	-0.00348439302111895	-0.0144766485059074	0.00544081048193815	-0.00705865228106709	-0.00439476031861496	-0.000665638468127061	0.00222603727351419	-0.00316124829957913	0.000705600678917447	-0.000699563681340087	0.00138272183023132	0.00331397761453807	-0.00180746646619182	0.00414073720007485	0.000145251869552004	0.0044994593192551	-0.000751856726371274	-0.00183306603790698	-0.00079103210559767	0.00131559159244529	-0.000794426836948837	0.000863909104765704	1.54141935909762e-06	7.09740597670208e-05	-0.000225103538452432	-0.000165361590453255	-0.00014880129848392	0.000223299303128848	-0.000530574201611728	9.01710720473952e-05	-0.000168235048148654
"curvisetae"	0.0218427055582484	0.00834698092279034	-0.00762409487748871	0.023428253970501	0.00621013605276807	0.00874400614263849	0.00686900075543838	0.0104098121907054	-0.000700525177161289	-0.0161067770063362	-0.0012399048460043	0.00619057063720779	-0.00369304795207688	0.00276466070939967	-0.00674644281979916	-0.00142471581560439	-0.000814121476376672	-3.497192730342e-05	0.000934384977451508	-0.00170663720822396	0.000420858168288071	-0.00235508360769782	-0.00174394415592789	-0.00102356490872811	-0.00501113321082255	-0.00166404827493786	-0.00181973471650794	0.000231870715577244	0.000302540337305975	-0.000172727091934309	-0.00111984765918661	0.000365341954780596	-2.76947775779305e-05	-0.00142378573805101	0.000507179434055076	2.28490455905194e-05	0.000291748108111825	-3.59146239066301e-05	0.000446289741362199
"banot"	-0.0914288470344767	0.0279888660255526	0.0587916855595216	-0.0329450177802775	-0.00277128015320272	-0.000568069107252645	0.0164014888340502	0.00533180948376185	0.0248824267482227	0.000714297682890343	0.0071328128193166	0.0131310153481932	-0.00568839351515647	0.00662726004325345	0.00655501261187775	-0.00472587712860998	0.00066632436123405	0.00110092211488902	-0.000421255384493068	-0.00168678103274092	-0.00112178497153546	-0.00126509352940197	0.00159058192959811	0.00157481586386994	-0.000984248479524942	0.00186607234561315	-0.00012856815706599	-0.000604339449292988	0.000312640004788109	-0.00070192481388682	0.00074432393740685	0.000319452603622329	-0.000366767710067104	-0.000213391474202937	-0.000128046356656271	-0.000123846508204237	-5.74096322703734e-05	0.000138810907496229	9.36806803043854e-06
"gibbifera"	-0.0212150548685814	-0.0167616268736855	-0.0630239799840401	-0.00107985825899623	0.00727592608811663	0.00682736711456619	0.00333918342293606	-0.00878359797709882	0.00610805201995409	-0.016807306338453	0.0136168970364248	-0.00540549811824211	-0.0120253775673542	0.00194002042178931	-0.00281850837919257	-0.00592650089125544	-0.00539838289296493	-0.00124694548778885	-0.00339925601901025	0.00202950516804139	0.00195155603978077	-0.000931054988851867	-0.000713907391777137	0.000769940071090781	0.00208015357044648	0.000311092461210988	0.00157626110301503	-0.00185360523314425	0.000555576844068877	-0.000113535980355617	-0.000297188029609769	-0.00056695521068023	-0.000143285557549659	5.46324352259599e-05	-3.20822344565851e-05	-0.000364150171580031	1.84783031904801e-05	5.30099579791187e-05	-0.000100198215040038
"gomerensis_G"	0.0300592053006362	-0.00277771004599757	-0.018343102501664	0.000279426183436881	-0.0145238867506318	0.0143060304998893	0.0076999450327425	0.00570828005771428	-0.00148580408553596	0.00758400504055153	-0.00461096340124779	0.000316438740460304	0.00437391152971076	-0.00343609435739938	-0.00417098895278002	0.000253300015035967	-0.00111884112568799	0.00376153952324125	-0.00149928965047199	-0.00023857871730073	0.00142823733128362	0.000877830143369539	-0.000252076429120212	-0.000213617636058311	-0.00122022213116285	0.00177385014648247	-0.000932033919351623	-0.00127827802258892	0.00119238258704434	-0.000290399260055665	-5.38986589317537e-05	0.000799162019404302	-1.65507475969797e-05	-0.000197283935140097	0.000299691236722119	0.00015006889505478	-0.000695975454999034	0.00130374799321277	-0.000622276104323066
"gomerensis_H"	0.0433832237596891	0.0193376087771478	-0.0181926445367873	0.00492903388178212	-0.00562943007768532	0.0190799429676495	0.00540445245889414	0.00929531003961236	-0.00864978807996346	-0.00663667429072555	-0.00762728611639062	0.000965818996407419	0.00515390988981033	0.000251396870801402	-0.00137917771511144	-0.0040786386465948	0.00462602345928948	0.00592402754032022	-0.000688540848936508	-0.000624236501187722	-0.00208309976712807	0.00184892264345258	0.00055180861037369	0.00121267601424708	0.00169591177069018	-1.23295720884959e-05	0.000576379621950868	-0.00224144774707059	0.00078921313997061	-0.000539169168107783	0.000299595857302579	0.00132918588183684	0.000313676488808697	-0.000156876217230802	-0.000943133472119956	-0.000360774475390304	0.000969264518412143	-0.00045364209882209	-2.38437698953392e-05
"iguanensis"	-0.0613225318893794	-0.0338263324519833	-0.0101047264361612	0.0164312773282017	-0.00604955992658875	-5.37875512235651e-05	-0.0109270453613061	-0.00658384518032015	-0.00213960580293392	0.0109956770548437	0.00326504088480466	-0.00384474245096758	-0.0109346337690059	0.00430428050236665	0.000565387011470991	0.000432245084015046	0.00821106416202048	-0.00133409299103231	0.00312911606882212	0.000681892728143563	-0.000286082327668205	0.00224518719085941	-0.000123962936547376	-0.00297194881934923	3.67646289486117e-06	-0.000368774369526445	0.000321322268029755	-0.00168092461469944	-0.00190664884912009	-0.00201330345305213	-0.000432888965876437	0.000107512489560432	-0.000477661527095973	-0.000532860922852605	-0.000193408009458961	0.000571449571076602	-1.58011058457992e-05	0.000232231456259521	-9.36330858912115e-06
"insulana"	0.104390867663193	0.0131224504850885	0.00291572196831407	-0.0152200057595749	-0.0363545125838904	0.00220034742667725	-0.0128091019841519	-0.0039894166076457	0.00412467505360928	0.00985288618338897	0.00670820048565535	-0.0060670772007169	-0.00648245360263017	-0.00151195037959431	-0.00354145190651729	-0.00319250038394211	-0.000421515504492136	0.00259752616507228	-0.0023450792184722	-0.00368767974293691	0.00035398163014199	-0.00185640909035372	0.00170492409305506	-0.00262441323482193	-0.00116037857290278	0.00165947186284205	-0.000443284922684949	0.00137641574195832	1.3321842683611e-05	0.000473186181122061	-0.0012698216280058	0.000479427516756516	-0.000764720971008149	0.00132183917523629	-0.00018326057547461	0.0005535270442589	0.000279003717263133	-0.000391574864673471	3.16823973111182e-05
"lancerotensis"	0.0812806123822907	0.0362768092332155	-0.012753655716573	-0.0111988194436532	0.0376695005237702	-0.00155173345630793	0.0122222976819424	0.0343400528812427	0.00369902036221141	0.00798619178028524	0.0172511644291464	-0.0149363665622897	0.00386766105311994	-0.00270736663973028	0.00698938947998134	-0.000624143901511441	0.000269480397366463	-0.000844456269524266	0.00228100316095497	0.0011539644928757	0.000423735509792259	0.000108439462725546	-0.000155926622805286	-0.00153407032313332	-0.00026813889214924	-0.000555584904471015	-0.000881368660705653	-0.000476449823616856	8.79820381556221e-06	0.000103807149965695	0.000458134510472705	-5.86181577976639e-05	0.000123967319512822	-0.000215931468548528	6.51839259953042e-07	0.000140009467277197	-4.4999183937927e-05	-2.31297069092448e-05	5.69221455325742e-05
"levipes"	-0.00895296627195199	-0.0328026712604537	0.0363916191368018	0.0114353258783615	0.00568534870676597	-0.0266999236420342	-0.0311802212270574	0.0177279494518733	0.0237549835608164	-0.00727392331224093	-0.00284078823203191	0.000318726274900193	0.0073829735283513	-0.00280133262632476	-0.00780965181057772	-0.00596146190606268	-0.00176935034086297	0.000258128397488728	0.00072325778177213	0.00229440085985129	-6.10004172136933e-05	-0.000297013813382766	0.00127540354315313	-0.00156079704846823	0.000616597580466446	-0.00231995374971152	0.00207297823172243	0.00071072030519524	-0.000497991756339643	-0.000659508641399547	0.000405127459439106	0.000654355975861469	-0.000248111363050975	0.000343925636277675	-8.97063893974311e-05	-4.53965391040906e-05	6.2738352854119e-05	0.000206171872479774	-0.000140346181214195
