spp	PC1_of_GM_data	PC2_of_GM_data	Cheliceral_group
ale_l	-0.035521614	-0.052918131	D
amb_t	0.048619818	-0.072857377	E
and_c	-0.065389953	0.015164649	A
ara_c	-0.031570261	-0.002118041	A
ban_c	-0.033365159	-0.026709226	A
bre_t	0.017180022	0.02535899	B
brv_t	0.100414028	0.013374431	G
cal_g	0.036602145	0.037245893	B
cal_p	0.077596957	0.03445255	G
chi_t	-0.052730612	-0.038028387	D
cri_t	0.0749167	-0.02020182	G
cur_t	0.028605228	-0.00974498	B
eng_g	-0.076437877	0.028430238	A
esq_t	0.02783519	-0.028675186	B
fla_t	-0.079345758	-0.035786949	F
gai_g	-0.054135637	-0.02907047	D
gib_t	-0.018784389	0.017413977	A
gol_t	-0.003048412	0.09940489	C
gom_g	0.035045919	0.007379672	B
gom_h	0.050343925	-0.015993798	B
guy_t	-0.076466552	-0.030137716	D
her_t	0.069883294	0.022913552	G
igu_t	-0.057659081	0.032763324	A
ins_t	0.109740612	0.004093707	G
lancerotensis	0.088368557	-0.033388117	H
lea_t	-0.002898043	0.03672367	C
lev_g	0.004968883	0.02848731	C
lio_c	0.019799249	-0.024015969	B
lon_f	-0.050244612	-0.044563406	D
mac_t	0.016864111	0.010958022	B
mad_t	-0.025472132	0.007394548	A
mah_l	-0.041119571	-0.039535461	D
mar_t	0.114607723	0.004522452	I
min_t	-0.096033862	0.072050505	A
mon_t	-0.05027522	0.052751961	A
nes_l	-0.053658421	-0.03375598	D
nin_t	0.075170454	-0.031706855	G
ora_h	-0.025818497	0.024596209	A
pau_c	0.044941008	0.016973187	B
ram_g	-0.065640673	-0.010654871	F
rat_p	0.014347811	0.006532645	B
rug_c	-0.008590295	0.005862422	A
san_f	0.013631512	-0.043456432	E
sib_t	-0.054837765	-0.001102196	A
sil_g	-0.039700142	0.007495371	A
sil_h	-0.031209624	0.012175122	A
sil_p	-0.036992567	0.033624212	A
sim_l	-0.032395074	-0.044637384	D
spi_f	-0.05774669	-0.034562804	D
til_c	0.103697688	-0.004833003	G
ung_t	0.079873647	0.001384522	G
ver_t	-0.015115884	0.009164531	A
ygu_c	0.019149897	0.039761993	B
