"Collection.code"	"Collected.by"	"DateCollected.Start."	"Locality.Name"	"District"	"State.Prov"	"Country"	"LocLatitude"	"LocLongitude"	"X.Species.Genus"	"Species.groups"	"SpeciesName"
"NMH002705"	"H. López"	"1/3/2009"	"Barranco Oscuro"	"Valleseco"	"Gran Canaria"	"Canary Islands"	28.06725	-15.58901	"Dysdera"	"Western Canarian"	"yguanirae"
"CRBA000695"	"H. Lopez"	"36887"	"Barranco Oscuro"	"Valleseco"	"Gran Canaria"	"Canary Islands"	28.0672498	-15.58901	"Dysdera"	"Western Canarian"	"yguanirae"
"CRBA001345"	"H. Lopez"	"38104"	"Brezal del Palmital"	"Santa María de Guía"	"Gran Canaria"	"Canary Islands"	28.11145	-15.60197	"Dysdera"	"Western Canarian"	"yguanirae"
"CRBA001346"	"H. Lopez"	"38104"	"Brezal del Palmital"	"Santa María de Guía"	"Gran Canaria"	"Canary Islands"	28.11145	-15.60197	"Dysdera"	"Western Canarian"	"yguanirae"
"CRBA001347"	"H. Lopez"	"38104"	"Brezal del Palmital"	"Santa María de Guía"	"Gran Canaria"	"Canary Islands"	28.11145	-15.60197	"Dysdera"	"Western Canarian"	"yguanirae"
"CRBA001348"	"H. Lopez"	"38104"	"Brezal del Palmital"	"Santa María de Guía"	"Gran Canaria"	"Canary Islands"	28.11145	-15.60197	"Dysdera"	"Western Canarian"	"yguanirae"
"CRBA001391"	"N. Txasko"	"38888"	"Brezal del Palmital"	"Santa María de Guía"	"Gran Canaria"	"Canary Islands"	28.11145	-15.60197	"Dysdera"	"Western Canarian"	"yguanirae"
"CRBA002253"	"M. Arnedo & N. Macías"	"41739"	"Brezal del Palmital"	"Santa María de Guía"	"Gran Canaria"	"Canary Islands"	28.11145	-15.60197	"Dysdera"	"Western Canarian"	"yguanirae"
"CRBA002268"	"M. Arnedo & N. Macías"	"4/13/2014"	"Brezal del Palmital"	"Santa María de Guía"	"Gran Canaria"	"Canary Islands"	28.11145	-15.60197	"Dysdera"	"Western Canarian"	"yguanirae"
"CRBA003196"	"A. Bellvert & L. Crespo"	"4/17/2018"	"Brezal del Palmital"	""	"Gran Canaria"	"Canary Islands"	28.11145	-15.60197	"Dysdera"	"Western Canarian"	"yguanirae"
"CRBA003198"	"A. Bellvert & L. Crespo"	"4/17/2018"	"brezal del palmital"	""	"Gran Canaria"	"Canary Islands"	28.11145	-15.60197	"Dysdera"	"Western Canarian"	"yguanirae"
"CRBA003450"	"Arnedo & Bellvert"	"13/3/2019"	"Brezal del Palmital"	"Santa María de Guía"	"Gran Canaria"	"Canary Islands"	28.11145	-15.60197	"Dysdera"	"Western Canarian"	"yguanirae"
"CRBA003451"	"Arnedo & Bellvert"	"13/3/2019"	"Brezal del Palmital"	"Santa María de Guía"	"Gran Canaria"	"Canary Islands"	28.11145	-15.60197	"Dysdera"	"Western Canarian"	"yguanirae"
"CRBA003452"	"Arnedo & Bellvert"	"13/3/2019"	"Brezal del Palmital"	"Santa María de Guía"	"Gran Canaria"	"Canary Islands"	28.11145	-15.60197	"Dysdera"	"Western Canarian"	"yguanirae"
"CRBA003453"	"Arnedo & Bellvert"	"13/3/2019"	"Brezal del Palmital"	"Santa María de Guía"	"Gran Canaria"	"Canary Islands"	28.11145	-15.60197	"Dysdera"	"Western Canarian"	"yguanirae"
"CRBA003454"	"Arnedo & Bellvert"	"13/3/2019"	"Brezal del Palmital"	"Santa María de Guía"	"Gran Canaria"	"Canary Islands"	28.11145	-15.60197	"Dysdera"	"Western Canarian"	"yguanirae"
"NMH000063"	"H. López"	"38091"	"Brezal del Palmital"	"Santa María de Guía"	"Gran Canaria"	"Canary Islands"	28.11145	-15.60197	"Dysdera"	"Western Canarian"	"yguanirae"
"NMH000111"	"M. Arnedo"	"38104"	"Brezal del Palmital"	"Santa María de Guía"	"Gran Canaria"	"Canary Islands"	28.11145	-15.60197	"Dysdera"	"Western Canarian"	"yguanirae"
